,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
0,24 Maj 2025,17:30,24/25,Górnik Zabrze,1,1,Korona Kielce,1.94,3.81,3.67,Remis
1,24 Maj 2025,17:30,24/25,Jagiellonia Białystok,1,1,Pogoń Szczecin,2.08,3.8,3.33,Remis
2,24 Maj 2025,17:30,24/25,Lech Poznań,1,0,Piast Gliwice,1.36,5.21,8.39,Wygrali gospodarze
3,24 Maj 2025,17:30,24/25,Lechia Gdańsk,2,3,GKS Katowice,1.96,3.95,3.49,Wygrali goście
4,24 Maj 2025,17:30,24/25,Legia Warszawa,2,2,Stal Mielec,1.38,5.37,7.25,Remis
5,24 Maj 2025,17:30,24/25,Puszcza Niepołomice,1,1,Śląsk Wrocław,3.24,3.86,2.06,Remis
6,24 Maj 2025,17:30,24/25,Radomiak Radom,2,3,Motor Lublin,1.99,3.56,3.72,Wygrali goście
7,24 Maj 2025,17:30,24/25,Raków Częstochowa,2,1,Widzew Łódź,1.29,5.7,10.28,Wygrali gospodarze
8,24 Maj 2025,17:30,24/25,Zagłębie Lubin,1,2,Cracovia,2.68,3.46,2.57,Wygrali goście
9,19 Maj 2025,19:00,24/25,Widzew Łódź,2,0,Puszcza Niepołomice,1.5,4.56,6.24,Wygrali gospodarze
10,18 Maj 2025,17:30,24/25,GKS Katowice,2,2,Lech Poznań,5.15,4.15,1.6,Remis
11,18 Maj 2025,14:45,24/25,Cracovia,3,1,Legia Warszawa,2.74,3.56,2.44,Wygrali gospodarze
12,18 Maj 2025,12:15,24/25,Motor Lublin,1,0,Zagłębie Lubin,1.97,3.53,3.75,Wygrali gospodarze
13,17 Maj 2025,20:15,24/25,Korona Kielce,1,1,Raków Częstochowa,7.36,4.58,1.43,Remis
14,17 Maj 2025,17:30,24/25,Piast Gliwice,2,0,Górnik Zabrze,2.12,3.33,3.5,Wygrali gospodarze
15,17 Maj 2025,14:45,24/25,Pogoń Szczecin,3,3,Lechia Gdańsk,1.47,4.68,6.29,Remis
16,16 Maj 2025,20:30,24/25,Śląsk Wrocław,1,1,Jagiellonia Białystok,4.16,4.16,1.77,Remis
17,16 Maj 2025,18:00,24/25,Stal Mielec,2,2,Radomiak Radom,2.5,3.37,2.81,Remis
18,15 Maj 2025,20:30,24/25,Widzew Łódź,0,2,Legia Warszawa,3.72,3.62,1.96,Wygrali goście
19,14 Maj 2025,20:30,24/25,Pogoń Szczecin,3,0,Motor Lublin,1.38,5.13,7.54,Wygrali gospodarze
20,12 Maj 2025,19:00,24/25,Puszcza Niepołomice,2,3,Stal Mielec,2.54,3.39,2.74,Wygrali goście
21,11 Maj 2025,17:30,24/25,Legia Warszawa,0,1,Lech Poznań,2.03,3.83,3.38,Wygrali goście
22,11 Maj 2025,14:45,24/25,GKS Katowice,2,1,Cracovia,2.22,3.51,3.09,Wygrali gospodarze
23,11 Maj 2025,12:15,24/25,Lechia Gdańsk,3,2,Korona Kielce,2.04,3.45,3.64,Wygrali gospodarze
24,10 Maj 2025,20:15,24/25,Raków Częstochowa,1,2,Jagiellonia Białystok,1.71,3.91,4.93,Wygrali goście
25,10 Maj 2025,17:30,24/25,Zagłębie Lubin,2,1,Widzew Łódź,2.15,3.39,3.32,Wygrali gospodarze
26,10 Maj 2025,14:45,24/25,Radomiak Radom,2,0,Pogoń Szczecin,2.96,3.54,2.29,Wygrali gospodarze
27,09 Maj 2025,20:30,24/25,Górnik Zabrze,2,0,Śląsk Wrocław,2.52,3.7,2.62,Wygrali gospodarze
28,09 Maj 2025,18:00,24/25,Motor Lublin,1,4,Piast Gliwice,2.56,3.24,2.83,Wygrali goście
29,05 Maj 2025,19:00,24/25,Korona Kielce,2,1,GKS Katowice,2.15,3.51,3.3,Wygrali gospodarze
30,04 Maj 2025,17:30,24/25,Jagiellonia Białystok,1,1,Górnik Zabrze,1.61,4.26,5.04,Remis
31,04 Maj 2025,14:45,24/25,Cracovia,0,2,Lechia Gdańsk,2.55,3.56,2.59,Wygrali goście
32,04 Maj 2025,12:15,24/25,Piast Gliwice,0,0,Radomiak Radom,2.4,2.98,3.29,Remis
33,03 Maj 2025,20:15,24/25,Lech Poznań,8,1,Puszcza Niepołomice,1.28,5.87,9.52,Wygrali gospodarze
34,03 Maj 2025,17:30,24/25,Śląsk Wrocław,3,1,Zagłębie Lubin,1.96,3.89,3.56,Wygrali gospodarze
35,03 Maj 2025,14:45,24/25,Stal Mielec,0,2,Raków Częstochowa,4.61,3.87,1.72,Wygrali goście
