,Drużyna,Sezon,Punkty,Zwycięstwa,Remisy,Porażki,Gole_zdobyte,Gole_stracone
0,Jagiellonia,23/24,63,18,9,7,77,45
1,Śląsk Wrocław,23/24,63,18,9,7,50,31
2,Legia Warszawa,23/24,59,16,11,7,51,39
3,Pogoń Szczecin,23/24,55,16,7,11,59,38
4,Lech Poznań,23/24,53,14,11,9,47,41
5,Górnik Zabrze,23/24,53,15,8,11,45,41
6,Raków Częstochowa,23/24,52,14,10,10,54,39
7,Zagłębie Lubin,23/24,47,13,8,13,43,50
8,Widzew Łódź,23/24,46,13,7,14,45,46
9,Piast Gliwice,23/24,43,9,16,9,38,35
10,Stal Mielec,23/24,43,11,10,13,42,48
11,Puszcza Niepołomice,23/24,40,9,13,12,39,49
12,Cracovia,23/24,39,8,15,11,45,46
13,Korona Kielce,23/24,38,8,14,12,40,44
14,Radomiak Radom,23/24,38,10,8,16,41,58
15,Warta Poznań,23/24,37,9,10,15,33,43
16,Ruch Chorzów,23/24,32,6,14,14,40,55
17,ŁKS Łódź,23/24,24,6,6,22,34,75
18,Raków Częstochowa,22/23,75,23,6,5,63,24
19,Legia Warszawa,22/23,66,19,9,6,57,37
20,Lech Poznań,22/23,61,17,10,7,51,29
21,Pogoń Szczecin,22/23,60,17,9,8,57,46
22,Piast Gliwice,22/23,53,15,8,11,40,31
23,Górnik Zabrze,22/23,48,13,9,12,45,43
24,Cracovia,22/23,46,12,10,12,41,35
25,Warta Poznań,22/23,45,12,9,13,37,35
26,Zagłębie Lubin,22/23,45,12,9,13,35,44
27,Radomiak Radom,22/23,44,12,8,14,34,41
28,Stal Mielec,22/23,43,11,10,13,36,40
29,Widzew Łódź,22/23,41,11,8,15,38,47
30,Korona Kielce,22/23,41,11,8,15,39,48
31,Jagiellonia,22/23,41,9,14,11,48,49
32,Śląsk Wrocław,22/23,38,9,11,14,35,48
33,Wisła Płock,22/23,37,10,7,17,41,50
34,Lechia Gdańsk,22/23,30,8,6,20,28,56
35,Miedź Legnica,22/23,23,4,11,19,33,55
36,Lech Poznań,21/22,74,22,8,4,67,24
37,Raków Częstochowa,21/22,69,20,9,5,60,30
38,Pogoń Szczecin,21/22,65,18,11,5,63,31
39,Lechia Gdańsk,21/22,57,16,9,9,52,39
40,Piast Gliwice,21/22,54,15,9,10,45,37
41,Wisła Płock,21/22,48,15,3,16,48,51
42,Radomiak Radom,21/22,48,11,15,8,42,40
43,Górnik Zabrze,21/22,47,13,8,13,55,55
44,Cracovia,21/22,46,12,10,12,40,42
45,Legia Warszawa,21/22,43,13,4,17,46,48
46,Warta Poznań,21/22,42,11,9,14,35,38
47,Jagiellonia,21/22,40,9,13,12,39,50
48,Zagłębie Lubin,21/22,38,11,5,18,43,59
49,Stal Mielec,21/22,37,9,10,15,39,52
50,Śląsk Wrocław,21/22,35,7,14,13,42,52
51,Bruk-Bet,21/22,32,7,11,16,36,56
52,Wisła Kraków,21/22,31,7,10,17,37,54
53,Górnik Łęczna,21/22,28,6,10,18,29,60
54,Legia Warszawa,20/21,64,19,7,4,48,24
55,Raków Częstochowa,20/21,59,17,8,5,46,25
56,Pogoń Szczecin,20/21,52,15,7,8,36,23
57,Śląsk Wrocław,20/21,43,11,10,9,36,32
58,Warta Poznań,20/21,43,13,4,13,33,32
59,Piast Gliwice,20/21,42,11,9,10,39,32
60,Lechia Gdańsk,20/21,42,12,6,12,40,37
61,Zagłębie Lubin,20/21,41,11,8,11,38,40
62,Jagiellonia,20/21,37,10,7,13,39,48
63,Górnik Zabrze,20/21,37,10,7,13,31,33
64,Lech Poznań,20/21,37,9,10,11,39,38
65,Wisła Płock,20/21,33,8,9,13,37,44
66,Wisła Kraków,20/21,33,8,9,13,39,42
67,Cracovia,20/21,32,8,13,9,28,32
68,Stal Mielec,20/21,29,6,11,13,31,47
69,Podbeskidzie,20/21,25,6,7,17,29,60
