,Drużyna,Sezon,Avg._posiadanie,Avg.strzały,Avg.strzały_celne,Avg.strzały_niecelne,Avg.strzały_zablokowane,Avg.rzuty_rożne,Avg.spalone,Avg.obrony_bramkarza,Avg.faule,Avg.Żółte_kartki,Avg.Czerwone_kartki,%_SFG
0,Cracovia,23/24,45%,"13,18","4,12","5,00","4,06","5,26","1,53","2,82","13,00","2,06","0,09","35,56%"
1,Górnik Zabrze,23/24,50%,"11,85","4,06","4,29","3,50","4,88","0,79","2,88","13,21","2,09","0,21","26,67%"
2,Jagiellonia,23/24,57%,"12,88","4,88","4,76","3,24","5,06","2,06","2,50","11,59","2,09","0,06","32,47%"
3,Korona Kielce,23/24,50%,"12,74","4,09","4,68","3,97","4,76","1,71","2,53","13,21","2,12","0,03","35,00%"
4,Lech Poznań,23/24,59%,"11,12","4,29","3,91","2,91","5,62","1,82","3,15","13,03","2,18","0,09","25,53%"
5,Legia Warszawa,23/24,57%,"13,50","4,41","5,21","3,88","6,00","1,68","1,32","13,18","2,47","0,18","25,49%"
6,ŁKS Łódź,23/24,49%,"10,26","3,15","3,97","3,15","4,12","1,50","3,53","14,21","2,50","0,18","38,24%"
7,Piast Gliwice,23/24,50%,"11,85","4,00","4,47","3,38","5,24","1,47","2,18","12,97","2,15","0,09","55,26%"
8,Pogoń Szczecin,23/24,56%,"14,59","4,91","5,44","4,24","6,24","1,29","2,65","10,85","1,94","0,06","27,12%"
9,Puszcza Niepołomice,23/24,38%,"10,12","3,38","3,85","2,88","4,38","1,82","3,74","16,26","2,79","0,12","56,41%"
10,Radomiak Radom,23/24,49%,"13,00","4,15","5,74","3,12","5,32","1,50","2,65","13,35","2,59","0,21","24,39%"
11,Raków Częstochowa,23/24,56%,"13,41","4,94","5,12","3,35","6,00","1,68","2,26","13,50","2,12","0,09","22,22%"
12,Ruch Chorzów,23/24,47%,"11,94","3,68","4,74","3,53","4,41","1,18","3,00","13,09","2,21","0,15","37,50%"
13,Stal Mielec,23/24,48%,"9,12","3,50","3,50","2,12","3,62","1,12","3,38","11,74","1,85","0,12","30,95%"
14,Śląsk Wrocław,23/24,45%,"11,65","4,71","3,97","2,97","3,71","1,24","2,50","11,41","2,21","0,12","36,00%"
15,Warta Poznań,23/24,41%,"8,47","2,85","3,15","2,47","3,44","1,35","2,97","15,09","2,18","0,06","33,33%"
16,Widzew Łódź,23/24,53%,"12,15","4,12","4,71","3,32","5,68","1,82","3,12","11,65","2,29","0,09","33,33%"
17,Zagłębie Lubin,23/24,50%,"13,44","4,68","5,09","3,68","5,29","1,59","3,29","11,06","1,79","0,18","30,23%"
18,Cracovia,22/23,45%,"13,15","4,15","5,53","3,47","4,97","1,09","2,53","12,38","2,12","0,09","31,71%"
19,Górnik Zabrze,22/23,54%,"12,76","4,29","4,79","3,68","5,41","2,15","3,18","13,59","2,74","0,06","31,11%"
20,Jagiellonia,22/23,47%,"11,50","4,09","4,21","3,21","3,88","2,41","3,85","13,62","2,74","0,18","31,25%"
21,Korona Kielce,22/23,42%,"13,06","4,41","5,53","3,12","5,38","1,35","2,79","14,53","2,47","0,09","41,03%"
22,Lech Poznań,22/23,61%,"15,35","5,85","5,38","4,12","5,79","1,41","2,32","13,38","2,18","0,06","23,53%"
23,Lechia Gdańsk,22/23,51%,"10,62","3,41","4,38","2,82","4,74","2,41","3,38","11,74","2,12","0,03","31,03%"
24,Legia Warszawa,22/23,58%,"13,71","4,79","5,56","3,35","5,50","2,00","2,62","12,35","2,50","0,12","35,09%"
25,Miedź Legnica,22/23,43%,"10,50","3,24","4,82","2,44","3,59","2,12","4,09","14,12","3,06","0,15","33,33%"
26,Piast Gliwice,22/23,46%,"10,00","3,32","4,41","2,26","4,21","1,85","2,38","13,15","1,97","0,06","35,14%"
27,Pogoń Szczecin,22/23,57%,"15,24","5,35","5,50","4,38","6,15","1,44","2,74","11,65","2,09","0,03","28,07%"
28,Radomiak Radom,22/23,48%,"12,26","3,68","5,06","3,53","4,68","1,56","3,44","13,03","2,44","0,09","44,12%"
29,Raków Częstochowa,22/23,55%,"13,24","4,88","4,88","3,47","5,82","2,00","1,82","13,94","2,29","0,09","39,68%"
30,Stal Mielec,22/23,49%,"10,47","3,32","4,03","3,12","3,85","1,35","3,44","12,09","1,74","0,09","50,00%"
31,Śląsk Wrocław,22/23,49%,"10,29","3,82","4,09","2,38","4,38","1,35","2,65","11,91","2,41","0,12","25,71%"
32,Warta Poznań,22/23,46%,"10,18","3,21","3,91","3,06","4,44","1,50","2,35","13,00","2,12","0,03","27,03%"
33,Widzew Łódź,22/23,49%,"12,41","3,88","5,24","3,29","5,32","1,85","3,21","11,65","1,47","0,00","31,58%"
34,Wisła Płock,22/23,54%,"11,29","3,88","4,15","3,26","4,62","2,29","3,53","11,91","2,06","0,12","19,51%"
35,Zagłębie Lubin,22/23,47%,"13,68","4,91","5,26","3,50","5,32","1,18","2,68","12,47","1,47","0,06","20,00%"
36,Bruk-Bet,21/22,52%,"11,65","3,59","4,94","3,12","4,85","1,74","3,74","12,97","2,38","0,03","41,67%"
37,Cracovia,21/22,48%,"12,00","4,06","4,76","3,18","5,18","2,44","2,41","14,97","2,18","0,06","40,00%"
38,Górnik Łęczna,21/22,46%,"9,21","3,00","3,62","2,59","4,09","1,56","3,88","14,00","2,21","0,12","31,03%"
39,Górnik Zabrze,21/22,51%,"13,47","4,91","5,24","3,32","5,21","1,79","2,68","13,09","2,00","0,03","21,82%"
40,Jagiellonia,21/22,48%,"12,06","4,15","4,82","3,09","5,15","2,18","2,44","15,38","2,59","0,09","25,64%"
41,Lech Poznań,21/22,56%,"17,35","6,41","6,41","4,53","6,82","1,71","1,53","12,47","1,53","0,06","28,36%"
42,Lechia Gdańsk,21/22,54%,"13,38","4,68","5,44","3,26","6,47","1,74","3,56","14,85","2,18","0,03","28,85%"
43,Legia Warszawa,21/22,55%,"12,76","4,38","5,06","3,32","6,09","1,35","2,82","14,91","2,82","0,15","26,09%"
44,Piast Gliwice,21/22,47%,"10,85","3,50","4,62","2,74","4,38","1,82","2,68","12,65","1,50","0,00","40,00%"
45,Pogoń Szczecin,21/22,55%,"14,35","5,32","5,41","3,62","6,26","1,82","2,32","11,65","1,85","0,09","28,57%"
46,Radomiak Radom,21/22,50%,"13,06","4,21","5,24","3,62","5,38","1,53","2,79","13,38","2,12","0,12","42,86%"
47,Raków Częstochowa,21/22,50%,"13,65","5,62","5,26","2,76","6,15","1,74","2,59","13,65","2,29","0,12","41,67%"
48,Stal Mielec,21/22,45%,"10,29","3,68","4,15","2,47","4,44","1,65","3,44","11,68","2,26","0,09","51,28%"
49,Śląsk Wrocław,21/22,48%,"12,71","4,26","5,09","3,35","4,56","1,97","3,50","13,62","2,15","0,15","30,95%"
50,Warta Poznań,21/22,44%,"10,06","3,41","3,85","2,79","4,29","1,76","2,53","15,62","2,03","0,06","40,00%"
51,Wisła Kraków,21/22,53%,"12,59","4,06","4,88","3,65","5,12","1,94","3,85","13,94","2,03","0,12","27,03%"
52,Wisła Płock,21/22,50%,"10,47","4,03","3,56","2,88","5,00","1,44","3,76","15,06","2,79","0,15","37,50%"
53,Zagłębie Lubin,21/22,49%,"13,18","3,94","5,82","3,41","5,21","1,41","3,59","14,82","2,44","0,12","34,88%"
54,Cracovia,20/21,48%,"12,03","3,63","4,67","3,73","4,37","1,67","3,43","15,80","2,50","0,17","50,00%"
55,Górnik Zabrze,20/21,51%,"14,10","4,80","5,27","4,03","5,63","1,27","2,80","14,17","2,17","0,00","35,48%"
56,Jagiellonia,20/21,48%,"11,53","4,20","4,57","2,77","4,37","1,63","3,73","14,90","2,33","0,17","30,77%"
57,Lech Poznań,20/21,59%,"15,60","4,97","5,83","4,80","6,67","1,50","3,13","13,37","1,77","0,00","35,90%"
58,Lechia Gdańsk,20/21,50%,"13,07","4,03","5,30","3,73","5,47","1,83","3,73","16,03","2,73","0,17","47,50%"
59,Legia Warszawa,20/21,58%,"15,33","5,23","6,00","4,10","6,13","1,57","2,30","14,07","1,83","0,03","25,00%"
60,Piast Gliwice,20/21,51%,"13,13","4,37","5,57","3,20","4,50","1,83","3,13","12,70","1,80","0,00","30,77%"
61,Podbeskidzie,20/21,47%,"11,40","3,50","4,33","3,57","4,80","1,63","3,07","15,47","2,13","0,13","44,83%"
62,Pogoń Szczecin,20/21,55%,"12,93","4,50","5,20","3,23","6,20","2,10","2,47","13,70","2,07","0,07","44,44%"
63,Raków Częstochowa,20/21,47%,"13,10","5,03","5,03","3,03","5,97","1,57","2,53","14,77","1,93","0,07","45,65%"
64,Stal Mielec,20/21,45%,"11,90","4,53","4,57","2,80","4,77","1,50","3,30","13,07","2,13","0,07","51,61%"
65,Śląsk Wrocław,20/21,47%,"12,07","4,13","5,20","2,73","4,60","1,53","3,37","15,33","1,83","0,10","41,67%"
66,Warta Poznań,20/21,44%,"10,07","3,13","4,37","2,57","4,53","1,60","2,77","13,90","1,47","0,07","21,21%"
67,Wisła Kraków,20/21,50%,"12,80","4,20","5,20","3,40","6,13","2,00","3,53","15,20","2,67","0,03","35,90%"
68,Wisła Płock,20/21,51%,"10,50","4,07","4,20","2,23","4,83","1,30","2,63","15,77","2,03","0,03","48,65%"
69,Zagłębie Lubin,20/21,51%,"11,87","3,97","5,03","2,87","4,90","1,90","3,37","13,27","2,13","0,10","55,26%"
70,Arka Gdynia,19/20,47%,"11,24","3,84","4,70","2,70","4,05","1,68","4,59","18,16","2,32","0,08","51,28%"
71,Cracovia,19/20,50%,"13,73","4,57","5,76","3,41","5,76","1,30","2,76","15,57","2,30","0,05","34,69%"
