,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał,Punkty_Gospodarze,Zwycięstwa_Gospodarze,Remisy_Gospodarze,Porażki_Gospodarze,Gole_zdobyte_Gospodarze,Gole_stracone_Gospodarze,Avg._posiadanie_Gospodarze,Avg.strzały_Gospodarze,Avg.strzały_celne_Gospodarze,Avg.strzały_niecelne_Gospodarze,Avg.strzały_zablokowane_Gospodarze,Avg.rzuty_rożne_Gospodarze,Avg.spalone_Gospodarze,Avg.obrony_bramkarza_Gospodarze,Avg.faule_Gospodarze,Avg.Żółte_kartki_Gospodarze,Avg.Czerwone_kartki_Gospodarze,%_SFG_Gospodarze,Punkty_Goście,Zwycięstwa_Goście,Remisy_Goście,Porażki_Goście,Gole_zdobyte_Goście,Gole_stracone_Goście,Avg._posiadanie_Goście,Avg.strzały_Goście,Avg.strzały_celne_Goście,Avg.strzały_niecelne_Goście,Avg.strzały_zablokowane_Goście,Avg.rzuty_rożne_Goście,Avg.spalone_Goście,Avg.obrony_bramkarza_Goście,Avg.faule_Goście,Avg.Żółte_kartki_Goście,Avg.Czerwone_kartki_Goście,%_SFG_Goście
0,24 Maj 2025,17:30,24/25,Górnik Zabrze,1,1,Korona Kielce,1.94,3.81,3.67,Remis,53.0,15.0,8.0,11.0,45.0,41.0,50.0,11.85,4.06,4.29,3.5,4.88,0.79,2.88,13.21,2.09,0.21,26.67,38.0,8.0,14.0,12.0,40.0,44.0,50.0,12.74,4.09,4.68,3.97,4.76,1.71,2.53,13.21,2.12,0.03,35.0
1,24 Maj 2025,17:30,24/25,Jagiellonia,1,1,Pogoń Szczecin,2.08,3.8,3.33,Remis,63.0,18.0,9.0,7.0,77.0,45.0,57.0,12.88,4.88,4.76,3.24,5.06,2.06,2.5,11.59,2.09,0.06,32.47,55.0,16.0,7.0,11.0,59.0,38.0,56.0,14.59,4.91,5.44,4.24,6.24,1.29,2.65,10.85,1.94,0.06,27.12
2,24 Maj 2025,17:30,24/25,Lech Poznań,1,0,Piast Gliwice,1.36,5.21,8.39,Wygrali gospodarze,53.0,14.0,11.0,9.0,47.0,41.0,59.0,11.12,4.29,3.91,2.91,5.62,1.82,3.15,13.03,2.18,0.09,25.53,43.0,9.0,16.0,9.0,38.0,35.0,50.0,11.85,4.0,4.47,3.38,5.24,1.47,2.18,12.97,2.15,0.09,55.26
3,24 Maj 2025,17:30,24/25,Lechia Gdańsk,2,3,GKS Katowice,1.96,3.95,3.49,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
4,24 Maj 2025,17:30,24/25,Legia Warszawa,2,2,Stal Mielec,1.38,5.37,7.25,Remis,59.0,16.0,11.0,7.0,51.0,39.0,57.0,13.5,4.41,5.21,3.88,6.0,1.68,1.32,13.18,2.47,0.18,25.49,43.0,11.0,10.0,13.0,42.0,48.0,48.0,9.12,3.5,3.5,2.12,3.62,1.12,3.38,11.74,1.85,0.12,30.95
5,24 Maj 2025,17:30,24/25,Puszcza Niepołomice,1,1,Śląsk Wrocław,3.24,3.86,2.06,Remis,40.0,9.0,13.0,12.0,39.0,49.0,38.0,10.12,3.38,3.85,2.88,4.38,1.82,3.74,16.26,2.79,0.12,56.41,63.0,18.0,9.0,7.0,50.0,31.0,45.0,11.65,4.71,3.97,2.97,3.71,1.24,2.5,11.41,2.21,0.12,36.0
6,24 Maj 2025,17:30,24/25,Radomiak Radom,2,3,Motor Lublin,1.99,3.56,3.72,Wygrali goście,38.0,10.0,8.0,16.0,41.0,58.0,49.0,13.0,4.15,5.74,3.12,5.32,1.5,2.65,13.35,2.59,0.21,24.39,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
7,24 Maj 2025,17:30,24/25,Raków Częstochowa,2,1,Widzew Łódź,1.29,5.7,10.28,Wygrali gospodarze,52.0,14.0,10.0,10.0,54.0,39.0,56.0,13.41,4.94,5.12,3.35,6.0,1.68,2.26,13.5,2.12,0.09,22.22,46.0,13.0,7.0,14.0,45.0,46.0,53.0,12.15,4.12,4.71,3.32,5.68,1.82,3.12,11.65,2.29,0.09,33.33
8,24 Maj 2025,17:30,24/25,Zagłębie Lubin,1,2,Cracovia,2.68,3.46,2.57,Wygrali goście,47.0,13.0,8.0,13.0,43.0,50.0,50.0,13.44,4.68,5.09,3.68,5.29,1.59,3.29,11.06,1.79,0.18,30.23,39.0,8.0,15.0,11.0,45.0,46.0,45.0,13.18,4.12,5.0,4.06,5.26,1.53,2.82,13.0,2.06,0.09,35.56
9,19 Maj 2025,19:00,24/25,Widzew Łódź,2,0,Puszcza Niepołomice,1.5,4.56,6.24,Wygrali gospodarze,46.0,13.0,7.0,14.0,45.0,46.0,53.0,12.15,4.12,4.71,3.32,5.68,1.82,3.12,11.65,2.29,0.09,33.33,40.0,9.0,13.0,12.0,39.0,49.0,38.0,10.12,3.38,3.85,2.88,4.38,1.82,3.74,16.26,2.79,0.12,56.41
10,18 Maj 2025,17:30,24/25,GKS Katowice,2,2,Lech Poznań,5.15,4.15,1.6,Remis,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,53.0,14.0,11.0,9.0,47.0,41.0,59.0,11.12,4.29,3.91,2.91,5.62,1.82,3.15,13.03,2.18,0.09,25.53
