,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał,Punkty_Gospodarze,Zwycięstwa_Gospodarze,Remisy_Gospodarze,Porażki_Gospodarze,Gole_zdobyte_Gospodarze,Gole_stracone_Gospodarze,Avg._posiadanie_Gospodarze,Avg.strzały_Gospodarze,Avg.strzały_celne_Gospodarze,Avg.strzały_niecelne_Gospodarze,Avg.strzały_zablokowane_Gospodarze,Avg.rzuty_rożne_Gospodarze,Avg.spalone_Gospodarze,Avg.obrony_bramkarza_Gospodarze,Avg.faule_Gospodarze,Avg.Żółte_kartki_Gospodarze,Avg.Czerwone_kartki_Gospodarze,%_SFG_Gospodarze,Punkty_Goście,Zwycięstwa_Goście,Remisy_Goście,Porażki_Goście,Gole_zdobyte_Goście,Gole_stracone_Goście,Avg._posiadanie_Goście,Avg.strzały_Goście,Avg.strzały_celne_Goście,Avg.strzały_niecelne_Goście,Avg.strzały_zablokowane_Goście,Avg.rzuty_rożne_Goście,Avg.spalone_Goście,Avg.obrony_bramkarza_Goście,Avg.faule_Goście,Avg.Żółte_kartki_Goście,Avg.Czerwone_kartki_Goście,%_SFG_Goście
0,24 Maj 2025,17:30,24/25,Górnik Zabrze,1,1,Korona Kielce,1.94,3.81,3.67,Remis,0.707,0.652,0.471,0.611,0.584,0.631,0.82,0.683,0.633,0.617,0.696,0.716,0.25,0.729,0.714,0.741,1.0,0.454,0.507,0.348,0.824,0.667,0.519,0.677,0.82,0.734,0.638,0.673,0.789,0.698,0.541,0.641,0.714,0.752,0.143,0.596
1,24 Maj 2025,17:30,24/25,Jagiellonia,1,1,Pogoń Szczecin,2.08,3.8,3.33,Remis,0.84,0.783,0.529,0.389,1.0,0.692,0.934,0.742,0.761,0.685,0.644,0.742,0.652,0.633,0.627,0.741,0.286,0.553,0.733,0.696,0.412,0.611,0.766,0.585,0.918,0.841,0.766,0.783,0.843,0.915,0.408,0.671,0.587,0.688,0.286,0.462
2,24 Maj 2025,17:30,24/25,Lech Poznań,1,0,Piast Gliwice,1.36,5.21,8.39,Wygrali gospodarze,0.707,0.609,0.647,0.5,0.61,0.631,0.967,0.641,0.669,0.563,0.579,0.824,0.576,0.797,0.705,0.773,0.429,0.435,0.573,0.391,0.941,0.5,0.494,0.538,0.82,0.683,0.624,0.643,0.672,0.768,0.465,0.552,0.701,0.762,0.429,0.941
3,24 Maj 2025,17:30,24/25,Lechia Gdańsk,2,3,GKS Katowice,1.96,3.95,3.49,Wygrali goście,0.505,0.407,0.575,0.871,0.522,0.846,0.768,0.694,0.612,0.72,0.619,0.697,0.51,0.858,0.794,0.779,0.476,0.654,0.505,0.407,0.575,0.871,0.522,0.846,0.768,0.694,0.612,0.72,0.619,0.697,0.51,0.858,0.794,0.779,0.476,0.654
4,24 Maj 2025,17:30,24/25,Legia Warszawa,2,2,Stal Mielec,1.38,5.37,7.25,Remis,0.787,0.696,0.647,0.389,0.662,0.6,0.934,0.778,0.688,0.75,0.771,0.88,0.532,0.334,0.713,0.876,0.857,0.434,0.573,0.478,0.588,0.722,0.545,0.738,0.787,0.526,0.546,0.504,0.421,0.531,0.354,0.856,0.635,0.656,0.571,0.527
5,24 Maj 2025,17:30,24/25,Puszcza Niepołomice,1,1,Śląsk Wrocław,3.24,3.86,2.06,Remis,0.533,0.391,0.765,0.667,0.506,0.754,0.623,0.583,0.527,0.554,0.573,0.642,0.576,0.947,0.879,0.989,0.571,0.961,0.84,0.783,0.529,0.389,0.649,0.477,0.738,0.671,0.735,0.571,0.59,0.544,0.392,0.633,0.617,0.784,0.571,0.613
6,24 Maj 2025,17:30,24/25,Radomiak Radom,2,3,Motor Lublin,1.99,3.56,3.72,Wygrali goście,0.507,0.435,0.471,0.889,0.532,0.892,0.803,0.749,0.647,0.826,0.62,0.78,0.475,0.671,0.722,0.918,1.0,0.416,0.505,0.407,0.575,0.871,0.522,0.846,0.768,0.694,0.612,0.72,0.619,0.697,0.51,0.858,0.794,0.779,0.476,0.654
7,24 Maj 2025,17:30,24/25,Raków Częstochowa,2,1,Widzew Łódź,1.29,5.7,10.28,Wygrali gospodarze,0.693,0.609,0.588,0.556,0.701,0.6,0.918,0.773,0.771,0.737,0.666,0.88,0.532,0.572,0.73,0.752,0.429,0.379,0.613,0.565,0.412,0.778,0.584,0.708,0.869,0.7,0.643,0.678,0.66,0.833,0.576,0.79,0.63,0.812,0.429,0.568
8,24 Maj 2025,17:30,24/25,Zagłębie Lubin,1,2,Cracovia,2.68,3.46,2.57,Wygrali goście,0.627,0.565,0.471,0.722,0.558,0.769,0.82,0.775,0.73,0.732,0.732,0.776,0.503,0.833,0.598,0.635,0.857,0.515,0.52,0.348,0.882,0.611,0.584,0.708,0.738,0.76,0.643,0.719,0.807,0.771,0.484,0.714,0.703,0.73,0.429,0.606
9,19 Maj 2025,19:00,24/25,Widzew Łódź,2,0,Puszcza Niepołomice,1.5,4.56,6.24,Wygrali gospodarze,0.613,0.565,0.412,0.778,0.584,0.708,0.869,0.7,0.643,0.678,0.66,0.833,0.576,0.79,0.63,0.812,0.429,0.568,0.533,0.391,0.765,0.667,0.506,0.754,0.623,0.583,0.527,0.554,0.573,0.642,0.576,0.947,0.879,0.989,0.571,0.961
10,18 Maj 2025,17:30,24/25,GKS Katowice,2,2,Lech Poznań,5.15,4.15,1.6,Remis,0.505,0.407,0.575,0.871,0.522,0.846,0.768,0.694,0.612,0.72,0.619,0.697,0.51,0.858,0.794,0.779,0.476,0.654,0.707,0.609,0.647,0.5,0.61,0.631,0.967,0.641,0.669,0.563,0.579,0.824,0.576,0.797,0.705,0.773,0.429,0.435
